followers_count,friends_count,favorites_count,statuses_count,default_profile,default_profile_image,verified,bot
592,717,113196,49544,1,1,0,1
3146,3850,112160,53494,1,0,0,1
6936,5036,16120,19883,1,0,0,1
3157,4373,33032,72929,0,0,0,1
1569,2187,18684,22210,0,0,0,0
7511,8340,8731,26003,1,0,0,0
8950,9309,2219,183917,0,0,0,1
66362,72833,69508,114145,1,0,0,1
2089,2629,20488,18216,0,0,0,0
7561,6986,152930,123615,1,0,0,0
358,209,41187,52148,1,1,0,0
16830,17326,12587,81924,1,0,0,1
1269,1733,25994,32336,1,0,0,1
6474,7176,110481,232691,1,0,0,1
3441,3717,11572,14039,0,0,0,0
46600,50616,61425,53751,1,0,0,1
1878,2003,211,8059,1,0,0,1
40945,41107,43747,48872,1,0,0,1
888,734,23860,17835,0,0,0,0
30908,31938,102463,179972,1,0,0,1
15416,8314,190,24475,0,0,0,1
1234,1602,21810,10583,0,0,0,0
260,320,91866,7659,1,0,0,0
347,571,48222,63134,1,0,0,0
3226,4952,17730,108723,1,0,0,0
